id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1494872620004569089,1494683580147986434,2022-02-19 10:13:00 WIB,2022-02-19,10:13:00,+0700,2299579934,pungky910,Rendy ESTAKA,,"@CNNIndonesia Dalang di balik Binomo, sindikat penipuan Internasional, di Tel Aviv Israel, negara lain cuma proxy, ngaku di georgia, Rusia, AS, kepulauan cayman, kepulauan bla bla, bohong itu. Sebnarnya di tel aviv israel, Indo gak punya hubungaj diplomatik dengan Israel, sjak 2017 FBI nangkep  https://t.co/xxoGoTa25R",in,[],[],[],0,0,0,[],[],https://twitter.com/pungky910/status/1494872620004569089,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1494872523695026177/pu/img/NOSPVFkwt3ni93_A.jpg,,,,,,,"[{'screen_name': 'CNNIndonesia', 'name': 'CNN Indonesia', 'id': '17128975'}]",,,,
1494871246168678407,1494504621016072195,2022-02-19 10:07:33 WIB,2022-02-19,10:07:33,+0700,1443066461413535746,zx_alvin,Alvin.zx,,@detikcom @pandji Itu influencer2 yang mempromosikan binomo apa ga di periksa juga? Kok cuman indra kenz doang?,in,[],[],[],0,0,0,[],[],https://twitter.com/zx_alvin/status/1494871246168678407,False,,0,,,,,,,,"[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': '69183155'}, {'screen_name': 'pandji', 'name': 'Pandji Pragiwaksono', 'id': '14305560'}]",,,,
1494870346285133824,1494870346285133824,2022-02-19 10:03:58 WIB,2022-02-19,10:03:58,+0700,1487965040393269250,quackguarnizo,aiden ! ♡,,por culpa de gaspi no he podido parar de decir binomo,es,[],[],[],0,0,0,[],[],https://twitter.com/quackguarnizo/status/1494870346285133824,False,,0,,,,,,,,[],,,,
1494870230253723654,1494709946578993153,2022-02-19 10:03:30 WIB,2022-02-19,10:03:30,+0700,383634226,doilookcare,Loco✨,,@jamil_cieler @keithmagaa @BangJuniorr @patektanjoeng @hahakiiim @itsvroo @Eno_Bening Si owner binomo cmiiw Pdhl jelas2 ilegal tp malah dipromosiin,in,[],[],[],0,0,1,[],[],https://twitter.com/doilookcare/status/1494870230253723654,False,,0,,,,,,,,"[{'screen_name': 'jamil_cieler', 'name': 'M. Jamil Rahman', 'id': '403901521'}, {'screen_name': 'keithmagaa', 'name': 'yujin', 'id': '1267875287083057152'}, {'screen_name': 'BangJuniorr', 'name': 'IJN', 'id': '97597983'}, {'screen_name': 'patektanjoeng', 'name': 'perrysiplatipus', 'id': '1235866711720488960'}, {'screen_name': 'hahakiiim', 'name': 'Amur Tigro', 'id': '983942143'}, {'screen_name': 'itsvroo', 'name': 'Xavier', 'id': '444409869'}, {'screen_name': 'Eno_Bening', 'name': 'Eno | Social Media Strategist', 'id': '67543581'}]",,,,
1494869354231447559,1494869354231447559,2022-02-19 10:00:02 WIB,2022-02-19,10:00:02,+0700,874558344593195008,validnewsid,Validnews.id,,Tim penyidik Bareskrim Polri menemukan sejumlah alat bukti untuk menaikkan status kasus dugaan tindak pidana pencucian uang yang dilakukan pengelola aplikasi Binomo. Influencer Indra Kenz juga akan dimintai keterangan. #binomo #nasional #validnews  https://t.co/d4AOekX5ku,in,[],['https://validnews.id/nasional/kasus-dugaan-penipuan-binomo-masuk-penyidikan'],[],0,0,0,"['binomo', 'nasional', 'validnews']",[],https://twitter.com/validnewsid/status/1494869354231447559,False,,0,,,,,,,,[],,,,
1494869058805989377,1494511664926162952,2022-02-19 09:58:51 WIB,2022-02-19,09:58:51,+0700,3286593680,cowokgajiumr,mau ga sama,,"@tvindonesiawkwk @haysyng Lu pasang 25rb. Dapet 300rb. Kalau kalah ya 25rb. Binomo lu pasang 100, kalah 100, menang 80. Dari sini aja udah tolol.",in,[],[],[],0,0,0,[],[],https://twitter.com/cowokgajiumr/status/1494869058805989377,False,,0,,,,,,,,"[{'screen_name': 'tvindonesiawkwk', 'name': 'Muklis', 'id': '1329295844869214208'}, {'screen_name': 'haysyng', 'name': 'lilin || OPEN RESELLER APP PREM', 'id': '867168060255465472'}]",,,,
1494868965172322305,1494868965172322305,2022-02-19 09:58:29 WIB,2022-02-19,09:58:29,+0700,479225628,chuwarning,Fan ⌣̈⃝ ♡,,wehh padahal kupikir binomo ini kek terkenal krn sering ada iklan di sosmed dan banyak di endorse influencer juga 😬,in,[],[],[],0,0,0,[],[],https://twitter.com/chuwarning/status/1494868965172322305,False,https://twitter.com/detikcom/status/1494504621016072195,0,,,,,,,,[],,,,
1494868752810217474,1494868752810217474,2022-02-19 09:57:38 WIB,2022-02-19,09:57:38,+0700,1147684259928215552,aozora_ands_48,Wah Gila Sih ◻️⁴⁸,,Youtuber Ewing HD dulu juga promosi Binomo kan ya? Sekarang kayaknya udah nggak,in,[],[],[],0,0,0,[],[],https://twitter.com/aozora_ands_48/status/1494868752810217474,False,,0,,,,,,,,[],,,,
1494868456348741632,1494504621016072195,2022-02-19 09:56:27 WIB,2022-02-19,09:56:27,+0700,4852589180,armandooooooaja,Pria,,@detikcom Dari awal emang gk masuk akal trading Binomo ini,in,[],[],[],0,0,0,[],[],https://twitter.com/armandooooooaja/status/1494868456348741632,False,,0,,,,,,,,"[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': '69183155'}]",,,,
1494867917116428288,1494867917116428288,2022-02-19 09:54:19 WIB,2022-02-19,09:54:19,+0700,902837643024539651,medcom_id,medcom_id,,"Ditemukan Unsur Pidana, Bareskrim Kejar Pemilik Binomo  https://t.co/0smEcB6PXX",in,[],['https://medcom.id/s/JKR3A9pN'],[],0,0,0,[],[],https://twitter.com/medcom_id/status/1494867917116428288,False,,0,,,,,,,,[],,,,
1494867525318111238,1494835139133779968,2022-02-19 09:52:45 WIB,2022-02-19,09:52:45,+0700,1376458830175870976,revolusiakhlaq2,Menteri Koordinator PCR,,"@detikcom Paling ujungnya gak sesuai dengan harapan korban yang melapor dan berharap uangnya dikembalikan oleh binomo. Yang ada akan berakhir seperti kasus 'First Travel', pelakunya dipenjara tapi uangnya disita oleh negara. 🤣🤣🤣🤣",in,[],[],[],0,0,0,[],[],https://twitter.com/RevolusiAkhlaq2/status/1494867525318111238,False,,0,,,,,,,,"[{'screen_name': 'detikcom', 'name': 'detikcom', 'id': '69183155'}]",,,,
1494866981807276032,1494866981807276032,2022-02-19 09:50:36 WIB,2022-02-19,09:50:36,+0700,3189327655,demokrasicoid,DEMOKRASI News,,"Bukan Hanya Indra Kenz, Polisi Bakal Usut Pemilik Aplikasi Binomo  https://t.co/raaJhxSxOH",in,[],['https://www.demokrasi.co.id/2022/02/bukan-hanya-indra-kenz-polisi-bakal.html'],[],0,0,1,[],[],https://twitter.com/demokrasicoid/status/1494866981807276032,False,,0,,,,,,,,[],,,,
1494866379434250243,1494715379238973442,2022-02-19 09:48:12 WIB,2022-02-19,09:48:12,+0700,2479301678,habibiahmad58,RengSampang😎,,@_mardial_ Mayann caiirrr dari binomo  https://t.co/nawepMRVyV,tr,[],[],[],0,0,1,[],[],https://twitter.com/habibiAhmad58/status/1494866379434250243,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1494866217555095553/pu/img/VKMBpvbJo1hvl3Mi.jpg,,,,,,,"[{'screen_name': '_mardial_', 'name': 'mardial', 'id': '95369720'}]",,,,
